case_id,category,config,repeat,passed,task_completed,grounded_rate,money_grounded_rate,source_coverage,constraints_passed,constraints_total,tools_ok,tools_called,route,latency_ms,cost_usd,error
D7,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,6,True,,clarification,506.4324,0.0000,
D8,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,3,True,,reasoning_property,2020.8025,0.0000,
D9,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,0,4,True,,clarification,647.1704,0.0000,
D10,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,3,True,,clarification,532.9931,0.0000,
D11,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,3,True,search_nearby_pois,search_nearby_pois,8035.7852,0.0002,
D12,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,4,True,,clarification,787.3612,0.0000,
D13,D_crime_poi,routed_models,1,False,True,0.0000,,0.0000,1,2,True,,clarification,754.1415,0.0000,
E6,E_multi_constraint,routed_models,1,False,True,1.0000,1.0000,1.0000,4,6,True,search_properties,search_properties,7099.2095,0.0000,
E7,E_multi_constraint,routed_models,1,True,True,1.0000,1.0000,1.0000,4,4,True,search_properties,search_properties,6369.9081,0.0002,
E8,E_multi_constraint,routed_models,1,True,True,0.3333,0.3333,0.3333,4,4,True,search_properties,search_properties,11379.4821,0.0003,
E9,E_multi_constraint,routed_models,1,False,True,1.0000,,1.0000,5,7,True,calculate_commute,calculate_commute,4521.9206,0.0001,
E10,E_multi_constraint,routed_models,1,False,True,1.0000,1.0000,1.0000,2,3,True,search_properties,search_properties,5222.8140,0.0001,
E11,E_multi_constraint,routed_models,1,False,True,1.0000,1.0000,1.0000,4,6,True,search_properties,search_properties,6413.9446,0.0000,
F9,F_grounding,routed_models,1,False,True,0.0000,0.0000,0.0000,2,4,True,web_search|web_search|web_search|web_search|web_search,multi_search,14576.7407,0.0005,
F10,F_grounding,routed_models,1,False,True,0.0000,0.0000,0.0000,1,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,7645.0680,0.0003,
F11,F_grounding,routed_models,1,False,True,0.7500,0.7500,0.7500,2,3,True,get_transport_info,get_transport_info,8172.2522,0.0002,
F12,F_grounding,routed_models,1,False,True,,,,1,3,True,,clarification,647.8985,0.0000,
F13,F_grounding,routed_models,1,False,True,,,,2,3,True,search_properties,search_properties,3552.7363,0.0001,
F14,F_grounding,routed_models,1,False,True,0.5000,0.0000,0.5000,1,4,True,get_property_details,get_property_details,14473.1116,0.0004,
F15,F_grounding,routed_models,1,True,True,1.0000,1.0000,1.0000,5,5,True,search_properties,search_properties,734.7879,0.0000,
F16,F_grounding,routed_models,1,False,True,,,,1,2,True,,direct_answer,3639.7659,0.0001,
F17,F_grounding,routed_models,1,True,True,1.0000,1.0000,0.5000,2,2,True,get_property_details,get_property_details,6151.3050,0.0002,
G8,G_memory,routed_models,1,False,True,,,,2,4,True,,reasoning_property,6242.0818,0.0002,
G9,G_memory,routed_models,1,False,True,1.0000,1.0000,1.0000,1,3,True,recall_memory,recall_memory,3365.3826,0.0001,
G10,G_memory,routed_models,1,False,True,,,,4,6,True,,direct_answer,2525.0059,0.0001,
G11,G_memory,routed_models,1,False,True,,,,1,3,True,search_properties,search_properties,3172.9446,0.0001,
G12,G_memory,routed_models,1,False,True,,,,1,2,True,recall_memory,recall_memory,6491.0037,0.0002,
G13,G_memory,routed_models,1,False,True,,,,0,3,True,,direct_answer,4045.0679,0.0001,
G14,G_memory,routed_models,1,True,True,,,,3,3,True,,reasoning_property,11457.0920,0.0003,
G15,G_memory,routed_models,1,False,True,,,,0,3,True,,direct_answer,3190.6284,0.0001,
G16,G_memory,routed_models,1,False,True,,,,1,3,True,search_properties,search_properties,857.7507,0.0000,
